label,nose_x,nose_y,nose_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,left_ankle_x,left_ankle_y,left_ankle_z,right_ankle_x,right_ankle_y,right_ankle_z
U,-0.0004867315292358,-0.3114606440067291,-0.1342733651399612,0.032439112663269,-0.2392325699329376,-0.0304612908512353,-0.0337286591529846,-0.2436901628971099,-0.0245142839848995,0.0234404206275939,-0.0014895498752593,-0.0032879759091883,-0.0234404206275939,0.001489520072937,0.0031596643384546,0.0327146649360656,0.1740603446960449,-0.0114077478647232,-0.0351088643074035,0.178757905960083,-0.0095094256103038,0.0403414964675903,0.3319563865661621,0.0704969242215156,-0.0415058135986328,0.3359040021896362,0.0666467770934104
U,-0.0005151033401489,-0.3076120615005493,-0.1739133298397064,0.0373289585113525,-0.2366034388542175,-0.076319120824337,-0.0342646241188049,-0.2411651313304901,-0.0619669817388057,0.0253031253814697,-7.18235969543457e-06,-0.0028421245515346,-0.0253031253814697,7.152557373046875e-06,0.0027557401917874,0.0501419305801391,0.1585692167282104,-0.0498737432062625,-0.0448302030563354,0.1586033105850219,-0.0470168925821781,0.0459224581718444,0.2986214160919189,0.0823062807321548,-0.0357250571250915,0.3071286678314209,0.087181769311428
U,0.0057663917541503,-0.3138917684555053,-0.1359745413064956,0.0384905338287353,-0.2380818724632263,-0.0138063374906778,-0.0292079150676727,-0.2386331260204315,-0.0449237897992134,0.0239346623420715,0.0007569789886474,0.0072237448766827,-0.0239346623420715,-0.000756949186325,-0.0073100994341075,0.0435127019882202,0.1589701175689697,0.022106809541583,-0.0400648117065429,0.1648863554000854,0.005118734203279,0.0414867997169494,0.3012890815734863,0.1085075512528419,-0.0386129915714263,0.3096256256103515,0.0899815633893013
U,-0.0002476572990417,-0.3141431361436844,-0.1569756120443344,0.0303593277931213,-0.2379071712493896,-0.0376294590532779,-0.0345492959022522,-0.2461225986480713,-0.0555480271577835,0.0231288075447082,4.00543212890625e-05,0.0018030847422778,-0.0231288075447082,-4.00543212890625e-05,-0.001926404540427,0.0292060375213623,0.1750022768974304,-0.0093057928606867,-0.0368493199348449,0.1753032207489013,-0.0116949705407023,0.0350722074508667,0.3270332217216491,0.0877914950251579,-0.0439738035202026,0.3321174383163452,0.0795311704277992
U,0.0098462104797363,-0.3191620707511902,-0.1568734496831894,0.0409676432609558,-0.2352272868156433,-0.0528768934309482,-0.0253980755805969,-0.2458644211292266,-0.0580903254449367,0.0237491130828857,0.0005200505256652,-0.0002969402994494,-0.0237491130828857,-0.0005200505256652,0.0001352992694592,0.0277097225189209,0.1687245368957519,-0.0013798502041026,-0.0416465997695922,0.1669860482215881,-0.0033591319806873,0.0299266576766967,0.322428286075592,0.082016035914421,-0.0489953160285949,0.3200657963752746,0.0781756490468978
U,-0.000680923461914,-0.306256890296936,-0.0881342068314552,0.0320146083831787,-0.2336302995681762,0.0102747241035103,-0.0308126807212829,-0.2461464405059814,-0.0007430453551933,0.022240400314331,-0.0011036098003387,-0.0031814659014344,-0.022240400314331,0.0011036396026611,0.0031225285492837,0.0244168043136596,0.1730501651763916,-0.0158550888299942,-0.0349338352680206,0.1710436344146728,-0.0080838650465011,0.0314264297485351,0.3362237215042114,0.0367948003113269,-0.0429329872131347,0.3343772888183594,0.0455298013985157
U,0.0017198324203491,-0.3165966272354126,-0.148389846086502,0.0315646529197692,-0.2348033487796783,-0.0173434652388095,-0.033694177865982,-0.2482700645923614,-0.0533475056290626,0.0229401588439941,0.0001900196075439,0.0070371436886489,-0.0229401290416717,-0.0001900494098663,-0.0071579786017537,0.0322694182395935,0.1722267866134643,-0.0049037667922675,-0.0371882915496826,0.1719886064529419,-0.0148201612755656,0.032683253288269,0.3249757289886474,0.0928161144256591,-0.0434291660785675,0.3240317106246948,0.0774454623460769
U,0.002876341342926,-0.3077625036239624,-0.1672710478305816,0.0364681482315063,-0.2396795451641082,-0.0494985058903694,-0.0340193510055542,-0.2462792694568634,-0.07368865609169,0.0249793529510498,-0.0007137954235076,0.0027759256772696,-0.0249793231487274,0.00071382522583,-0.0029035105835646,0.0447649955749511,0.1645824909210205,-0.0108726592734456,-0.0436758399009704,0.1649061441421508,-0.0161882247775793,0.0399696826934814,0.3073190450668335,0.1001959145069122,-0.041962593793869,0.3125009536743164,0.0896879136562347
U,0.0066834092140197,-0.3076627552509308,-0.1451174914836883,0.0337975025177001,-0.2329209446907043,-0.0380078330636024,-0.0332157611846923,-0.2430784702301025,-0.0578248687088489,0.024265706539154,0.0001940131187438,0.0009179940097965,-0.024265706539154,-0.0001940131187438,-0.0010409848764538,0.0410151481628418,0.1623284816741943,-0.035954512655735,-0.0398292541503906,0.1609683036804199,-0.0184927899390459,0.037652313709259,0.3074505925178528,0.0739790499210357,-0.0385551452636718,0.3081570267677307,0.0869281738996505
U,0.0030319094657897,-0.3175360858440399,-0.0960040390491485,0.0289422273635864,-0.2411969602108001,0.0414646863937377,-0.0356385707855224,-0.2492662668228149,-0.0220855232328176,0.0223708152770996,-0.0011931061744689,0.0158604513853788,-0.0223707854747772,0.0011931061744689,-0.0159625858068466,0.0304239988327026,0.1702783703804016,-0.0021977385040372,-0.0320944190025329,0.1702704429626464,-0.0308449659496545,0.036314845085144,0.3304579854011535,0.0884245708584785,-0.0400080978870391,0.3312735557556152,0.0521683134138584
