part,x,y,z,visibility
NOSE,277.7003154158592,103.34577548503876,-7.228921330533922,0.9998811483383179
LEFT_EYE_INNER,290.76671227812767,86.3041603565216,-35.036613419651985,0.9999696016311646
LEFT_EYE,293.8601151108742,86.62550139427185,-35.032031033188105,0.9999630451202393
LEFT_EYE_OUTER,297.1895031630993,86.90680766105652,-35.128605365753174,0.999976634979248
RIGHT_EYE_INNER,288.3377954363823,85.48070733994246,22.545518120750785,0.9999493360519409
RIGHT_EYE,289.56719040870667,85.21472411602736,22.53248398192227,0.9999164342880249
RIGHT_EYE_OUTER,290.88416397571564,84.70082092285156,22.462406661361456,0.9999599456787109
LEFT_EAR,328.3565662801266,101.9895533323288,-112.18821667134762,0.9999701976776123
RIGHT_EAR,318.19208934903145,97.21801978349686,139.38740640878677,0.9999179840087891
MOUTH_LEFT,285.83327382802963,126.14991760253906,-31.719094701111317,0.9998934268951416
MOUTH_RIGHT,282.45508074760437,125.73320612311363,41.22802605852485,0.9997541308403015
LEFT_SHOULDER,369.0663032233715,216.4251818060875,-249.2085300385952,0.9998511075973511
RIGHT_SHOULDER,349.57293570041656,214.5567448735237,298.33508133888245,0.9974687099456787
LEFT_ELBOW,423.19255471229553,328.20928171277046,-268.40798556804657,0.9856866002082825
RIGHT_ELBOW,382.17103108763695,328.55690664052963,309.70832481980324,0.018089236691594124
LEFT_WRIST,350.9701609611511,420.85091531276703,-121.57074362039566,0.9100233316421509
RIGHT_WRIST,346.6473877429962,415.9728733301163,157.47849605977535,0.012611695565283298
LEFT_PINKY,332.2538875043392,439.3411779999733,-154.10052426159382,0.8467471599578857
RIGHT_PINKY,334.0454623103142,443.69894510507584,133.30514430999756,0.01571110263466835
LEFT_INDEX,322.2353093326092,431.9507327079773,-136.84606589376926,0.8417366147041321
RIGHT_INDEX,333.33317935466766,435.91762936115265,96.85440212488174,0.01610397733747959
LEFT_THUMB,327.0206853747368,427.82812559604645,-105.66559061408043,0.8227851390838623
RIGHT_THUMB,336.7648735642433,428.0308680534363,133.97816196084023,0.02039528265595436
LEFT_HIP,363.0824379622936,478.9740512371063,-178.72339859604836,0.9990795850753784
RIGHT_HIP,379.36082035303116,479.3999078273773,178.68563309311867,0.9985643029212952
LEFT_KNEE,146.38356417417526,475.00604742765427,-118.56296472251415,0.9475600719451904
RIGHT_KNEE,436.1988365650177,659.1159061193466,226.35944187641144,0.8604913353919983
LEFT_ANKLE,160.81382185220718,679.7621563673019,-12.435449729673564,0.9477766156196594
RIGHT_ANKLE,628.6310881376266,629.6689592003822,324.62173998355865,0.9628368020057678
LEFT_HEEL,185.32771468162537,712.1611804962158,-2.9536431189626455,0.9494908452033997
RIGHT_HEEL,664.5044311881065,601.3657047152519,340.4701463878155,0.9827644228935242
LEFT_FOOT_INDEX,72.30911180377007,712.7813208699226,-7.383274915628135,0.9127674102783203
RIGHT_FOOT_INDEX,640.2879416942596,687.7914308309555,338.20682242512703,0.9285695552825928
