time,frame_index,label,error
0.24148178100585938,2,W,high hip
0.06712150573730469,4,W,high hip
0.08063793182373047,6,W,high hip
0.06953167915344238,8,W,high hip
0.06649279594421387,10,W,high hip
0.06392216682434082,12,W,high hip
0.06425976753234863,14,W,high hip
0.07366037368774414,16,W,high hip
0.10245609283447266,18,W,high hip
0.07038021087646484,20,W,high hip
0.0779874324798584,22,W,"high hip, elbow to front"
0.0670161247253418,24,W,"high hip, elbow to front"
0.06599020957946777,26,W,"high hip, elbow to front"
0.06301999092102051,28,W,"high hip, elbow to front"
0.06668996810913086,30,W,"high hip, elbow to front"
0.08553290367126465,32,W,"high hip, elbow to front"
0.06725740432739258,34,W,"high hip, elbow to front"
0.06052541732788086,36,W,elbow to front
0.06684589385986328,38,W,elbow to front
0.06662368774414062,40,W,elbow to front
0.06519603729248047,42,W,elbow to front
0.08413195610046387,44,W,"high hip, elbow to front"
0.07508397102355957,46,W,"high hip, elbow to front"
0.09834575653076172,48,W,"high hip, elbow to front"
0.11157751083374023,50,W,"high hip, elbow to front"
0.1025848388671875,52,W,elbow to front
0.0850684642791748,54,W,elbow to front
0.05818009376525879,56,W,elbow to front
0.06638717651367188,58,C,elbow to front
0.06929326057434082,60,C,elbow to front
0.05007314682006836,62,C,elbow to front
0.06656813621520996,64,C,elbow to front
0.06647753715515137,66,C,elbow to front
0.0669867992401123,68,C,elbow to front
0.06652331352233887,70,C,elbow to front
0.06643390655517578,72,C,elbow to front
0.06674551963806152,74,C,elbow to front
0.05996227264404297,76,C,elbow to front
0.06443524360656738,78,C,elbow to front
0.06551504135131836,80,C,elbow to front
0.0690774917602539,82,C,Unknown
0.06421589851379395,84,C,Unknown
0.06667804718017578,86,C,Unknown
0.06641411781311035,88,C,Unknown
0.06675505638122559,90,C,Unknown
0.06964659690856934,92,C,Unknown
0.06369757652282715,94,C,Unknown
0.06715536117553711,96,C,Unknown
0.06638026237487793,98,C,Unknown
0.061921119689941406,100,C,Unknown
0.06660676002502441,102,C,Unknown
0.06634807586669922,104,C,Unknown
0.06691861152648926,106,C,Unknown
0.06663680076599121,108,C,Unknown
0.06659412384033203,110,C,Unknown
0.06641936302185059,112,C,Unknown
0.056360483169555664,114,C,Unknown
0.0666191577911377,116,C,Unknown
0.07738089561462402,118,C,Unknown
0.04940390586853027,120,C,Unknown
0.048032522201538086,122,C,Unknown
0.060720205307006836,124,C,Unknown
0.0666971206665039,126,C,Unknown
0.06652665138244629,128,C,Unknown
0.0702970027923584,130,C,Unknown
0.06319761276245117,132,C,Unknown
0.0667569637298584,134,C,Unknown
0.06661438941955566,136,C,Unknown
0.06653594970703125,138,C,Unknown
0.06615185737609863,140,C,elbow to front
0.06689023971557617,142,C,elbow to front
0.0663919448852539,144,C,elbow to front
0.06680583953857422,146,C,elbow to front
0.0666356086730957,148,C,elbow to front
0.06654214859008789,150,C,elbow to front
0.06708025932312012,152,C,elbow to front
0.06628727912902832,154,C,elbow to front
0.0697474479675293,156,C,elbow to front
0.06357336044311523,158,C,elbow to front
0.05006122589111328,160,C,elbow to front
0.06550717353820801,162,C,elbow to front
0.06432008743286133,164,C,Unknown
0.06667804718017578,166,C,Unknown
0.06638669967651367,168,C,Unknown
0.06684756278991699,170,C,Unknown
0.06920766830444336,172,C,Unknown
0.0632944107055664,174,C,Unknown
0.066497802734375,176,C,Unknown
0.06656622886657715,178,C,Unknown
0.06658935546875,180,C,Unknown
0.06680440902709961,182,C,Unknown
0.0663454532623291,184,C,Unknown
0.06658267974853516,186,C,Unknown
0.049983978271484375,188,C,Unknown
0.06623220443725586,190,C,Unknown
0.06691980361938477,192,C,Unknown
0.0634145736694336,194,C,Unknown
0.066009521484375,196,C,Unknown
0.06712555885314941,198,C,Unknown
0.06660962104797363,200,C,Unknown
0.0710294246673584,202,C,Unknown
0.06198906898498535,204,C,Unknown
0.06672358512878418,206,C,Unknown
0.06626534461975098,208,C,Unknown
0.06718945503234863,210,C,Unknown
0.04991960525512695,212,C,Unknown
0.046866655349731445,214,C,Unknown
0.06547331809997559,216,C,Unknown
0.06691431999206543,218,C,Unknown
0.06270861625671387,220,C,Unknown
0.06631040573120117,222,C,Unknown
0.06714749336242676,224,C,Unknown
0.06624603271484375,226,C,Unknown
0.07072234153747559,228,C,Unknown
0.05069136619567871,230,C,None
0.05045127868652344,232,W,high hip
0.05043315887451172,234,W,high hip
0.046900272369384766,236,W,high hip
0.05471539497375488,238,W,high hip
0.06627416610717773,240,W,high hip
0.06665754318237305,242,W,high hip
0.06752467155456543,244,W,high hip
0.062262773513793945,246,W,high hip
0.06717061996459961,248,W,high hip
0.06646990776062012,250,W,high hip
0.06648468971252441,252,W,high hip
0.07129621505737305,254,W,"high hip, elbow to after"
0.05995655059814453,256,W,"high hip, elbow to after"
0.0666966438293457,258,W,"high hip, elbow to after"
0.06663274765014648,260,W,"high hip, elbow to after"
0.06662917137145996,262,W,"high hip, elbow to after"
0.07062888145446777,264,W,"high hip, elbow to after"
0.05006766319274902,266,W,"high hip, elbow to after"
0.051236867904663086,268,W,"high hip, elbow to after"
0.06434893608093262,270,W,"high hip, elbow to after"
0.06104278564453125,272,W,high hip
0.06611967086791992,274,W,high hip
0.06481766700744629,276,W,high hip
0.06993722915649414,278,W,high hip
0.061071157455444336,280,W,high hip
0.06433415412902832,282,W,high hip
0.06681656837463379,284,C,None
0.07040786743164062,286,C,None
0.06281638145446777,288,C,Unknown
0.06657147407531738,290,C,Unknown
0.0703282356262207,292,C,Unknown
0.06270885467529297,294,C,Unknown
0.06697869300842285,296,C,Unknown
0.06954765319824219,298,C,Unknown
0.06383085250854492,300,C,Unknown
0.06673383712768555,302,C,Unknown
0.06978154182434082,304,C,Unknown
0.06355571746826172,306,C,Unknown
0.06429243087768555,308,C,Unknown
0.06128859519958496,310,C,None
0.06606864929199219,312,C,None
0.06171107292175293,314,C,None
0.05354952812194824,316,C,Unknown
0.05472755432128906,318,C,Unknown
0.04658794403076172,320,C,Unknown
0.06614398956298828,322,C,Unknown
0.06964302062988281,324,C,Unknown
0.06788468360900879,326,C,Unknown
0.06927824020385742,328,C,Unknown
0.06127619743347168,330,C,None
0.06704378128051758,332,C,None
0.061971426010131836,334,C,None
0.06689310073852539,336,C,None
0.06660962104797363,338,C,Unknown
0.06115078926086426,340,C,Unknown
0.07078289985656738,342,C,Unknown
0.06296181678771973,344,C,Unknown
0.060544729232788086,346,C,Unknown
0.06659603118896484,348,C,Unknown
0.06704902648925781,350,C,Unknown
0.06054544448852539,352,C,Unknown
0.06692934036254883,354,C,Unknown
0.07311201095581055,356,C,Unknown
0.059905290603637695,358,C,Unknown
0.06647348403930664,360,C,Unknown
0.06720876693725586,362,C,Unknown
0.059479713439941406,364,C,Unknown
0.06791138648986816,366,C,Unknown
0.06659197807312012,368,C,Unknown
0.06608843803405762,370,C,Unknown
0.0625600814819336,372,C,Unknown
0.06717371940612793,374,C,Unknown
0.06645798683166504,376,C,Unknown
0.06651711463928223,378,C,Unknown
0.06691503524780273,380,C,Unknown
0.06258368492126465,382,C,Unknown
0.06701326370239258,384,C,Unknown
0.06626272201538086,386,C,Unknown
0.08312368392944336,388,C,Unknown
0.07349491119384766,390,C,Unknown
0.05571103096008301,392,C,Unknown
0.06603074073791504,394,C,Unknown
0.07286977767944336,396,C,Unknown
0.05567049980163574,398,C,Unknown
0.06660938262939453,400,C,Unknown
0.07065701484680176,402,C,Unknown
0.062157392501831055,404,C,Unknown
0.06669902801513672,406,C,Unknown
0.06802248954772949,408,C,Unknown
0.05674004554748535,410,C,Unknown
0.04962563514709473,412,C,None
0.059041738510131836,414,C,None
0.06559228897094727,416,C,Unknown
0.06217503547668457,418,C,Unknown
0.06930255889892578,420,C,Unknown
0.06610941886901855,422,C,Unknown
0.058394670486450195,424,C,Unknown
0.06669187545776367,426,C,Unknown
0.07686042785644531,428,C,Unknown
0.05153942108154297,430,C,Unknown
0.06629133224487305,432,C,Unknown
0.06227993965148926,434,C,Unknown
0.04979252815246582,436,C,Unknown
0.06495022773742676,438,C,Unknown
0.06681466102600098,440,C,Unknown
0.06679773330688477,442,C,Unknown
0.10036683082580566,444,C,Unknown
0.0661313533782959,446,C,Unknown
0.07105231285095215,448,C,Unknown
0.07790803909301758,450,C,Unknown
0.0664975643157959,452,C,Unknown
0.0708622932434082,454,C,Unknown
0.06282663345336914,456,C,Unknown
0.06680560111999512,458,C,Unknown
0.0660698413848877,460,C,Unknown
0.06716108322143555,462,C,Unknown
0.06859970092773438,464,C,Unknown
0.0789482593536377,466,C,Unknown
0.10004591941833496,468,C,None
0.06669187545776367,470,W,low hip
0.0702664852142334,472,W,low hip
0.06316661834716797,474,W,low hip
0.06648135185241699,476,W,low hip
0.06906914710998535,478,W,low hip
0.06322669982910156,480,W,"low hip, elbow to front"
0.06700778007507324,482,W,"low hip, elbow to front"
0.06700587272644043,484,W,"low hip, elbow to front"
0.06079220771789551,486,W,low hip
0.06626033782958984,488,W,low hip
0.06161832809448242,490,W,low hip
0.061461687088012695,492,W,low hip
0.0666506290435791,494,W,low hip
0.06684088706970215,496,W,low hip
0.06136322021484375,498,W,low hip
0.06158781051635742,500,W,low hip
0.06556510925292969,502,W,low hip
0.06103062629699707,504,W,low hip
0.050572872161865234,506,W,low hip
0.05381464958190918,508,W,low hip
0.0608515739440918,510,W,low hip
0.06598806381225586,512,W,low hip
0.06674575805664062,514,W,low hip
0.06345438957214355,516,W,low hip
0.06646585464477539,518,W,low hip
0.06594228744506836,520,W,low hip
0.06195354461669922,522,W,low hip
0.06608772277832031,524,W,low hip
0.06586265563964844,526,W,low hip
0.06177496910095215,528,W,low hip
0.05036306381225586,530,W,low hip
